Player,Salary,Salary_Adj,Year
Dale Ellis,"$1,300,000","$2,832,384",1991
Jerry Reynolds,"$1,300,000","$2,832,384",1991
Joe Dumars,"$1,295,000","$2,821,490",1991
Lionel Simmons,"$1,289,000","$2,808,418",1991
Detlef Schrempf,"$1,278,000","$2,784,451",1991
Sarunas Marciulionis,"$1,267,000","$2,760,485",1991
Antoine Carr,"$1,263,000","$2,751,770",1991
Sam Vincent,"$1,260,000","$2,745,234",1991
J.R. Reid,"$1,250,000","$2,723,446",1991
Sherman Douglas,"$1,250,000","$2,723,446",1991
Randy Breuer,"$1,250,000","$2,723,446",1991
Mark Jackson,"$1,250,000","$2,723,446",1991
Mark Aguirre,"$1,232,000","$2,684,229",1991
Walter Davis,"$1,215,000","$2,647,189",1991
Johnny Newman,"$1,206,000","$2,627,581",1991
Tyrone Hill,"$1,200,000","$2,614,508",1991
Wayne Cooper,"$1,200,000","$2,614,508",1991
Doc Rivers,"$1,195,000","$2,603,615",1991
Herb Williams,"$1,183,000","$2,577,469",1991
Tony Campbell,"$1,183,000","$2,577,469",1991
Mike Brown,"$1,175,000","$2,560,039",1991
Ken Norman,"$1,150,000","$2,505,570",1991
Bo Kimble,"$1,150,000","$2,505,570",1991
Alec Kessler,"$1,122,000","$2,444,565",1991
Derrick McKey,"$1,112,000","$2,422,778",1991
Stacey King,"$1,100,000","$2,396,633",1991
Byron Scott,"$1,100,000","$2,396,633",1991
John Williams,"$1,100,000","$2,396,633",1991
Dennis Rodman,"$1,075,000","$2,342,164",1991
Sidney Green,"$1,063,000","$2,316,019",1991
Frank Brickowski,"$1,055,000","$2,298,589",1991
Charles Smith,"$1,050,000","$2,287,695",1991
Charles Oakley,"$1,050,000","$2,287,695",1991
Eddie Johnson,"$1,050,000","$2,287,695",1991
Alvin Robertson,"$1,033,000","$2,250,656",1991
Rumeal Robinson,"$1,025,000","$2,233,226",1991
Rodney McCray,"$1,025,000","$2,233,226",1991
Kiki Vandeweghe,"$1,020,000","$2,222,332",1991
Dell Curry,"$1,006,000","$2,191,829",1991
Maurice Cheeks,"$1,000,000","$2,178,757",1991
Travis Mays,"$1,000,000","$2,178,757",1991
Chris Dudley,"$1,000,000","$2,178,757",1991
Loy Vaught,"$1,000,000","$2,178,757",1991
Thurl Bailey,"$1,000,000","$2,178,757",1991
Ron Anderson,"$1,000,000","$2,178,757",1991
Paul Pressey,"$1,000,000","$2,178,757",1991
Larry Smith,"$997,000","$2,172,221",1991
George McCloud,"$990,000","$2,156,969",1991
Mark West,"$975,000","$2,124,288",1991
Mark Macon,"$970,000","$2,113,394",1991
Orlando Woolridge,"$957,000","$2,085,070",1991
Joe Kleine,"$950,000","$2,069,819",1991
Jeff Grayer,"$950,000","$2,069,819",1991
Kurt Rambis,"$950,000","$2,069,819",1991
Dennis Hopson,"$950,000","$2,069,819",1991
Mitch Richmond,"$950,000","$2,069,819",1991
Roy Hinson,"$943,000","$2,054,568",1991
Vlade Divac,"$942,000","$2,052,389",1991
Rex Chapman,"$940,000","$2,048,031",1991
Jim Petersen,"$936,000","$2,039,316",1991
James Edwards,"$933,000","$2,032,780",1991
Gary Grant,"$928,000","$2,021,886",1991
Craig Ehlo,"$925,000","$2,015,350",1991
Joe Barry Carroll,"$925,000","$2,015,350",1991
Tyrone Corbin,"$922,000","$2,008,814",1991
Muggsy Bogues,"$906,000","$1,973,954",1991
Ed Pinckney,"$900,000","$1,960,881",1991
William Bedford,"$900,000","$1,960,881",1991
Lester Conner,"$900,000","$1,960,881",1991
James Donaldson,"$880,000","$1,917,306",1991
Stacey Augmon,"$875,000","$1,906,412",1991
Greg Anthony,"$865,000","$1,884,625",1991
Mike Sanders,"$860,000","$1,873,731",1991
Randy White,"$855,000","$1,862,837",1991
Terry Mills,"$850,000","$1,851,943",1991
Darrell Griffith,"$850,000","$1,851,943",1991
Dave Jamerson,"$840,000","$1,830,156",1991
Tim McCormick,"$825,000","$1,797,474",1991
Tom Hammonds,"$825,000","$1,797,474",1991
Duane Causwell,"$820,000","$1,786,581",1991
Trent Tucker,"$813,000","$1,771,329",1991
Hersey Hawkins,"$805,000","$1,753,899",1991
Gerald Wilkins,"$795,000","$1,732,112",1991
Fred Roberts,"$791,000","$1,723,397",1991
Ledell Eackles,"$780,000","$1,699,430",1991
Bison Dele,"$777,000","$1,692,894",1991
Buck Johnson,"$775,000","$1,688,536",1991
Willie Anderson,"$775,000","$1,688,536",1991
Joe Wolf,"$763,000","$1,662,391",1991
Vern Fleming,"$760,000","$1,655,855",1991
Jay Humphries,"$760,000","$1,655,855",1991
Pooh Richardson,"$760,000","$1,655,855",1991
Tod Murphy,"$760,000","$1,655,855",1991
Victor Alexander,"$750,000","$1,634,068",1991
Olden Polynice,"$750,000","$1,634,068",1991
Nick Anderson,"$750,000","$1,634,068",1991
Charles Jones,"$750,000","$1,634,068",1991
Jerrod Mustaf,"$735,000","$1,601,386",1991
Nate McMillan,"$733,000","$1,597,029",1991
Kevin Willis,"$725,000","$1,579,599",1991
Danny Ainge,"$725,000","$1,579,599",1991
Dee Brown,"$705,000","$1,536,023",1991
Gerald Glass,"$705,000","$1,536,023",1991
Craig Hodges,"$700,000","$1,525,130",1991
John Battle,"$700,000","$1,525,130",1991
Chris Gatling,"$700,000","$1,525,130",1991
Terry Teagle,"$700,000","$1,525,130",1991
Greg Kite,"$700,000","$1,525,130",1991
Andrew Lang,"$700,000","$1,525,130",1991
Alexander Volkov,"$675,000","$1,470,661",1991
Tim Perry,"$675,000","$1,470,661",1991
Stojko Vrankovic,"$665,000","$1,448,873",1991
Darrell Walker,"$665,000","$1,448,873",1991
Mike Woodson,"$658,000","$1,433,622",1991
